Month,CO (mg/m³),Benzene (µg/m³),PM2.5(µg/m³),Ozone (µg/m³)
2013_01,1.19,0.53,197,61.25
2013_02,1.12,1.04,187,29.77
2013_03,1.16,1.35,117,34
2013_04,0.91,0.62,40,35.88
2013_05,0.8,0.55,30,31.25
2013_06,0.7,0.54,25,34.5
2013_07,0.68,0.47,24,44.75
2013_08,0.63,0.35,26,19.88
2013_09,0.73,0.36,22,30.75
2013_10,0.72,0.51,29,32.13
2013_11,2.07,3.8,87,64.5
2013_12,1.16,2.34,131,29.25
2014_01,1.34,2.13,118,43.38
2014_02,0.86,1.24,94,38.75
2014_03,0.81,1.01,81,32.75
2014_04,0.76,0.74,57,64.88
2014_05,0.65,0.35,40,26.38
2014_06,0.7,0.68,49,35
2014_07,0.59,0.15,26,68.38
2014_08,0.61,0.42,30,32.25
2014_09,0.68,0.27,27,23.13
2014_10,1.33,1.84,61,56.5
2014_11,0.68,0.49,57,54.75
2014_12,0.85,1.2,137,48
2015_01,0.73,0.79,36,35.38
2015_02,0.73,0.86,83,55.75
2015_03,0.61,0.89,53,49.63
2015_04,0.86,0.68,39,53.25
2015_05,0.68,0.62,31,38.88
2015_06,0.77,0.6,45,50.63
2015_07,0.67,0.53,39,40.13
2015_08,0.62,0.33,18,22.25
2015_09,0.79,0.37,30,45.5
2015_10,0.73,0.42,33,53.13
2015_11,0.82,0.65,58,61.75
2015_12,0.87,1.08,106,52.88
2016_01,1.07,1.83,181,26.54
2016_02,0.99,2.07,144,35
2016_03,0.81,1.88,54,32.08
2016_04,0.78,1.77,42,34
2016_05,0.8,1.97,56,28.46
2016_06,0.65,1.87,36,18.13
2016_07,0.64,0.76,23,18.92
2016_08,0.69,0.78,38,28.5
2016_09,0.68,0.47,28,32.42
2016_10,0.7,0.59,42,19.58
2016_11,0.67,0.49,33,15.67
2016_12,0.77,4.26,97,31.04
2017_01,0.78,4.47,136,26.88
2017_02,0.8,4.42,126,32.13
2017_03,0.77,3.58,77,27.63
2017_04,0.73,3.04,45,29.46
